source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters,estimated_time_min,data_source
LTFRB_4780,LTFRB_4779,2.02,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,154.71,2.02,gtfs
LTFRB_4780,LTFRB_4781,2.26,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,228.77,2.26,gtfs
LTFRB_4781,LTFRB_4780,2.26,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,228.77,2.26,gtfs
LTFRB_4781,LTFRB_4782,2.23,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,219.68,2.23,gtfs
LTFRB_4782,LTFRB_4781,2.23,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,219.68,2.23,gtfs
LTFRB_4782,LTFRB_4783,2.23,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,217.7,2.23,gtfs
LTFRB_4783,LTFRB_4782,2.23,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,217.7,2.23,gtfs
LTFRB_4783,LTFRB_4784,2.24,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,222.19,2.24,gtfs
LTFRB_4784,LTFRB_4783,2.24,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,222.19,2.24,gtfs
LTFRB_4784,LTFRB_4785,1.94,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,132.77,1.94,gtfs
LTFRB_4785,LTFRB_4784,1.94,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,132.77,1.94,gtfs
LTFRB_4785,LTFRB_4786,2.24,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,222.19,2.24,gtfs
LTFRB_4786,LTFRB_4785,2.24,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,222.19,2.24,gtfs
LTFRB_4786,LTFRB_4787,1.89,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,116.39,1.89,gtfs
LTFRB_4787,LTFRB_4786,1.89,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,116.39,1.89,gtfs
LTFRB_4787,LTFRB_4788,2.23,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,219.67,2.23,gtfs
LTFRB_4788,LTFRB_4787,2.23,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,219.67,2.23,gtfs
LTFRB_4788,LTFRB_4789,2.28,jeep,LTFRB_PUJ2334,,Karuhatan Ugong,False,232.79,2.28,gtfs
LTFRB_4789,LTFRB_4788,2.28,jeep,LTFRB_PUJ2333,,Karuhatan Ugong,False,232.79,2.28,gtfs
LTFRB_479,LTFRB_478,2.26,jeep,LTFRB_PUJ1877,,NOVA-TALA,False,228.69,2.26,gtfs
LTFRB_479,LTFRB_480,2.59,jeep,LTFRB_PUJ1500,,Novaliches - Tala via Quirino,False,327.32,2.59,gtfs
LTFRB_4790,LTFRB_249,2.09,jeep,LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,False,177.91,2.09,gtfs
LTFRB_4790,LTFRB_4791,2.36,jeep,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,False,257.1,2.36,gtfs
LTFRB_4791,LTFRB_4790,2.36,jeep,LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,False,257.1,2.36,gtfs
